item_id,scope_id,scope_name,sequence_start,phase,series,issue_start,issue_end,publication_id_prefix,role,required_or_optional,reading_order_verified,source_url,confidence,notes
aftershock,collected_road_vol_1,Aftershock / Road Vol. 1 collected scope,001,Aftershock,Batman,555,559,PUB-BAT-,aftermath,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,review,Membership verified from Road to No Man's Land Vol. 1 contents; exact Aftershock boundary remains review-grade.
aftershock,collected_road_vol_1,Aftershock / Road Vol. 1 collected scope,006,Aftershock,Batman: Shadow of the Bat,75,79,PUB-SOTB-,aftermath,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,review,Membership verified from Road to No Man's Land Vol. 1 contents; exact Aftershock boundary remains review-grade.
aftershock,collected_road_vol_1,Aftershock / Road Vol. 1 collected scope,011,Aftershock,Detective Comics,722,722,PUB-DET-,aftermath,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,review,Membership verified from Road to No Man's Land Vol. 1 contents; exact Aftershock boundary remains review-grade.
aftershock,collected_road_vol_1,Aftershock / Road Vol. 1 collected scope,012,Aftershock,Detective Comics,724,726,PUB-DET-,aftermath,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,review,Membership verified from Road to No Man's Land Vol. 1 contents; exact Aftershock boundary remains review-grade.
aftershock,collected_road_vol_1,Aftershock / Road Vol. 1 collected scope,015,Aftershock,Robin (Vol. 2),54,54,PUB-ROBIN-V2-,aftermath,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,review,Membership verified from Road to No Man's Land Vol. 1 contents; exact Aftershock boundary remains review-grade.
aftershock,collected_road_vol_1,Aftershock / Road Vol. 1 collected scope,016,Aftershock,The Batman Chronicles,14,14,PUB-BATMAN-CHRONICLES-,aftermath,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,review,Membership verified from Road to No Man's Land Vol. 1 contents; exact Aftershock boundary remains review-grade.
road_to_no_mans_land,complete_collected_scope,Road to No Man's Land complete collected scope,001,Road to No Man's Land,Batman,560,562,PUB-BAT-,prelude,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Membership verified from Road to No Man's Land Vol. 2 contents; exact inter-title reading order not asserted.
road_to_no_mans_land,complete_collected_scope,Road to No Man's Land complete collected scope,004,Road to No Man's Land,Detective Comics,727,729,PUB-DET-,prelude,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Membership verified from Road to No Man's Land Vol. 2 contents; exact inter-title reading order not asserted.
road_to_no_mans_land,complete_collected_scope,Road to No Man's Land complete collected scope,007,Road to No Man's Land,Batman: Shadow of the Bat,80,82,PUB-SOTB-,prelude,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Membership verified from Road to No Man's Land Vol. 2 contents; exact inter-title reading order not asserted.
road_to_no_mans_land,complete_collected_scope,Road to No Man's Land complete collected scope,010,Road to No Man's Land,The Batman Chronicles,15,15,PUB-BATMAN-CHRONICLES-,prelude,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Membership verified from Road to No Man's Land Vol. 2 contents; exact inter-title reading order not asserted.
road_to_no_mans_land,complete_collected_scope,Road to No Man's Land complete collected scope,011,Road to No Man's Land,Azrael: Agent of the Bat,47,50,PUB-AZRAEL-AOTB-,prelude,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Membership verified from Road to No Man's Land Vol. 2 contents; exact inter-title reading order not asserted.
no_mans_land,complete_crossover_scope,No Man's Land complete crossover scope,002,No Man's Land,Batman: Shadow of the Bat,83,94,PUB-SOTB-,core,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Membership verified from No Man's Land issue list/complete editions; exact inter-title reading order not asserted.
no_mans_land,complete_crossover_scope,No Man's Land complete crossover scope,014,No Man's Land,Batman,563,574,PUB-BAT-,core,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Membership verified from No Man's Land issue list/complete editions; exact inter-title reading order not asserted.
no_mans_land,complete_crossover_scope,No Man's Land complete crossover scope,026,No Man's Land,Detective Comics,730,741,PUB-DET-,core,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Membership verified from No Man's Land issue list/complete editions; exact inter-title reading order not asserted.
no_mans_land,complete_crossover_scope,No Man's Land complete crossover scope,038,No Man's Land,Azrael: Agent of the Bat,51,61,PUB-AZRAEL-AOTB-,core,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Membership verified from No Man's Land issue list/complete editions; exact inter-title reading order not asserted.
no_mans_land,complete_crossover_scope,No Man's Land complete crossover scope,049,No Man's Land,Batman: Legends of the Dark Knight,116,126,PUB-LOTDK-,core,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Membership verified from No Man's Land issue list/complete editions; exact inter-title reading order not asserted.
no_mans_land,complete_crossover_scope,No Man's Land complete crossover scope,060,No Man's Land,The Batman Chronicles,16,18,PUB-BATMAN-CHRONICLES-,core,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Membership verified from No Man's Land issue list/complete editions; exact inter-title reading order not asserted.
no_mans_land,complete_crossover_scope,No Man's Land complete crossover scope,063,No Man's Land,Robin (Vol. 2),67,73,PUB-ROBIN-V2-,core,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Membership verified from No Man's Land issue list/complete editions; exact inter-title reading order not asserted.
no_mans_land,complete_crossover_scope,No Man's Land complete crossover scope,065,No Man's Land,Nightwing,35,39,PUB-NIGHTWING-,core,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Membership verified from No Man's Land issue list/complete editions; exact inter-title reading order not asserted.
no_mans_land,complete_crossover_scope,No Man's Land complete crossover scope,069,No Man's Land,Catwoman (Vol. 2),72,77,PUB-CATWOMAN-V2-,core,required,No,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Membership verified from No Man's Land issue list/complete editions; exact inter-title reading order not asserted.
knight_out,collected_scope,Batman: Knight Out collected scope,001,Knight Out,Detective Comics,703,718,PUB-DET-,core,optional,No,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collected as Batman: Knight Out; useful bridge between Legacy and Cataclysm.
modern_local_numbered_batman_detective_to_nml,numbered_core,Numbered Batman/Detective run only,001,Numbered run,Batman,404,574,PUB-BAT-,numbered issue,required,No,data/reference/series_run_ranges.csv,verified,Numbered-run target only; annuals specials one-shots and miniseries are tracked separately.
modern_local_numbered_batman_detective_to_nml,numbered_core,Numbered Batman/Detective run only,172,Numbered run,Detective Comics,568,741,PUB-DET-,numbered issue,required,No,data/reference/series_run_ranges.csv,verified,Numbered-run target only; annuals specials one-shots and miniseries are tracked separately.
